,Image,Dice_base,K
0,111018930978236771390670303639566239985_1bnarb.png,0.8364123973268331,1
1,111018930978236771390670303639566239985_1bnarb.png,0.8364123973268331,3
2,111018930978236771390670303639566239985_1bnarb.png,0.8364123973268331,5
3,111018930978236771390670303639566239985_1bnarb.png,0.8364123973268331,7
4,111018930978236771390670303639566239985_1bnarb.png,0.8364123973268331,9
5,159364525876157332485573893353941089455_aepmh7.png,0.8540581127187066,1
6,159364525876157332485573893353941089455_aepmh7.png,0.8778231313219692,3
7,159364525876157332485573893353941089455_aepmh7.png,0.8778231313219692,5
8,159364525876157332485573893353941089455_aepmh7.png,0.8778231313219692,7
9,159364525876157332485573893353941089455_aepmh7.png,0.8778231313219692,9
10,10996416492353037588312781035930080694_8rstz0.png,0.8193317476842177,1
11,10996416492353037588312781035930080694_8rstz0.png,0.8193317476842177,3
12,10996416492353037588312781035930080694_8rstz0.png,0.8193317476842177,5
13,10996416492353037588312781035930080694_8rstz0.png,0.8435170704044895,7
14,10996416492353037588312781035930080694_8rstz0.png,0.8684712264476965,9
15,145698282304700116300882843111967537977_f6qhtv.png,0.8401836466987319,1
16,145698282304700116300882843111967537977_f6qhtv.png,0.8682990564971041,3
17,145698282304700116300882843111967537977_f6qhtv.png,0.8973244123791049,5
18,145698282304700116300882843111967537977_f6qhtv.png,0.8973244123791049,7
19,145698282304700116300882843111967537977_f6qhtv.png,0.8973244123791049,9
20,127776313362848303557368271134995152837_apvrf1.png,0.7970274287258479,1
21,127776313362848303557368271134995152837_apvrf1.png,0.8796305978928656,3
22,127776313362848303557368271134995152837_apvrf1.png,0.8796305978928656,5
23,127776313362848303557368271134995152837_apvrf1.png,0.8796305978928656,7
24,127776313362848303557368271134995152837_apvrf1.png,0.8796305978928656,9
25,103416378058309979932405295235813040436_1g2pmw.png,0.7358229474002623,1
26,103416378058309979932405295235813040436_1g2pmw.png,0.7797233679123443,3
27,103416378058309979932405295235813040436_1g2pmw.png,0.7998322716485555,5
28,103416378058309979932405295235813040436_1g2pmw.png,0.7998322716485555,7
29,103416378058309979932405295235813040436_1g2pmw.png,0.813844914681198,9
30,278147989796380509519073707235611243961_lgo9hx.png,0.8144757002811538,1
31,278147989796380509519073707235611243961_lgo9hx.png,0.8144757002811538,3
